image,original_format,class_id,class_name,confidence,x1,y1,x2,y2
image01.jpg,AVIF,2,car,0.8018,288.94,140.24,543.22,309.11
image01.jpg,AVIF,3,motorcycle,0.2656,626.82,188.43,644.95,217.62
image02.jpg,AVIF,2,car,0.9324,114.51,264.32,446.91,450.73
image03.jpg,JPEG,0,person,0.866,171.33,104.53,393.35,367.66
image03.jpg,JPEG,2,car,0.8172,163.26,15.01,559.36,333.49
image04.jpg,JPEG,0,person,0.9203,334.07,33.82,461.54,432.64
image04.jpg,JPEG,2,car,0.9036,0.32,95.22,138.63,325.52
image04.jpg,JPEG,0,person,0.8668,514.86,42.63,637.06,438.66
image04.jpg,JPEG,2,car,0.5386,100.16,62.85,289.59,250.75
image04.jpg,JPEG,5,bus,0.3993,602.55,2.26,672.88,370.8
image05.jpg,JPEG,2,car,0.9443,0.44,136.79,160.03,361.95
image05.jpg,JPEG,2,car,0.9171,447.76,88.67,546.9,358.21
image05.jpg,JPEG,2,car,0.8691,86.15,135.75,223.3,301.37
image05.jpg,JPEG,2,car,0.8496,191.12,138.55,307.01,244.93
image05.jpg,JPEG,2,car,0.839,399.77,111.31,483.59,253.0
image05.jpg,JPEG,2,car,0.7912,187.86,149.65,249.54,261.1
image05.jpg,JPEG,2,car,0.7067,381.24,133.47,415.04,207.32
image05.jpg,JPEG,2,car,0.6222,352.64,157.32,386.8,192.89
image05.jpg,JPEG,2,car,0.542,290.3,142.42,325.13,197.49
image05.jpg,JPEG,0,person,0.505,494.61,125.78,545.32,173.42
image05.jpg,JPEG,5,bus,0.4407,209.61,68.4,327.49,155.57
image05.jpg,JPEG,2,car,0.3151,331.1,147.65,346.3,170.27
image06.jpg,JPEG,2,car,0.9326,121.11,273.06,327.35,402.2
image06.jpg,JPEG,2,car,0.8676,0.19,248.66,99.41,376.18
image06.jpg,JPEG,2,car,0.8671,528.75,250.1,680.05,375.97
image06.jpg,JPEG,2,car,0.8443,370.15,261.8,503.78,380.49
image06.jpg,JPEG,2,car,0.8442,217.41,206.69,307.18,264.01
image06.jpg,JPEG,2,car,0.8331,324.53,205.12,402.44,264.26
image06.jpg,JPEG,2,car,0.7852,64.64,171.16,125.99,209.09
image06.jpg,JPEG,2,car,0.7146,146.38,233.16,256.27,306.13
image06.jpg,JPEG,2,car,0.6121,415.19,224.36,494.06,294.42
image06.jpg,JPEG,2,car,0.5946,280.78,195.15,339.1,239.16
image06.jpg,JPEG,2,car,0.5342,522.0,194.28,564.75,233.29
image06.jpg,JPEG,2,car,0.4939,679.63,171.11,722.24,197.89
image06.jpg,JPEG,2,car,0.4835,437.79,194.97,495.66,239.99
image06.jpg,JPEG,2,car,0.4627,542.39,209.38,637.35,259.46
image06.jpg,JPEG,2,car,0.4527,394.76,193.24,429.85,220.08
image06.jpg,JPEG,2,car,0.4065,584.77,161.97,608.14,178.12
image06.jpg,JPEG,2,car,0.3468,389.76,186.72,430.12,219.96
image06.jpg,JPEG,2,car,0.3203,349.13,170.25,383.49,201.09
image06.jpg,JPEG,2,car,0.2752,541.85,205.12,611.16,258.6
image06.jpg,JPEG,2,car,0.2746,504.95,179.75,546.35,217.63
image07.jpg,JPEG,0,person,0.7367,576.18,112.75,652.58,287.42
image07.jpg,JPEG,0,person,0.5381,484.85,94.95,531.66,233.86
image07.jpg,JPEG,2,car,0.253,327.36,65.06,751.43,352.66
image07.jpg,JPEG,7,truck,0.2521,326.96,67.92,750.7,353.49
image08.jpg,JPEG,0,person,0.941,121.9,26.09,337.84,477.56
image08.jpg,JPEG,2,car,0.8641,342.95,199.72,557.26,330.64
image08.jpg,JPEG,13,bench,0.4729,115.2,249.86,373.73,473.68
image09.jpg,AVIF,2,car,0.9008,309.75,229.06,482.91,330.83
image09.jpg,AVIF,2,car,0.2914,640.06,210.91,662.93,220.45
image10.jpg,AVIF,0,person,0.8426,303.54,107.51,322.31,174.39
image10.jpg,AVIF,0,person,0.8169,189.72,110.9,214.91,176.26
image10.jpg,AVIF,0,person,0.714,66.84,108.4,85.04,159.08
image10.jpg,AVIF,5,bus,0.6791,114.91,69.84,273.39,155.76
image10.jpg,AVIF,0,person,0.677,172.89,111.6,190.78,168.59
image10.jpg,AVIF,0,person,0.6702,215.53,108.13,240.62,169.54
image10.jpg,AVIF,7,truck,0.6654,250.94,72.82,339.55,142.07
image10.jpg,AVIF,0,person,0.5464,242.64,111.98,262.56,168.67
image10.jpg,AVIF,5,bus,0.2684,250.27,72.74,339.6,142.56
